title,url,loyalty,family,blood,nationality,species,house,gender,aliases
Trolley witch,https://harrypotter.fandom.com/wiki/Trolley_witch,"Hogwarts Express,Albus Dumbledore,Ottaline Gambol",,,British,Human,,Female,[]
Cornelius Agrippa,https://harrypotter.fandom.com/wiki/Cornelius_Agrippa,,,,German,Human,,Male,
Ptolemy,https://harrypotter.fandom.com/wiki/Ptolemy,,,,,Human,,Male,
Gellert Grindelwald,https://harrypotter.fandom.com/wiki/Gellert_Grindelwald,"The Alliance
Acolytes,Acolytes,Durmstrang Institute",,Pure-blood,,Human,,Male,"['Percival Graves', 'Abernathy']"
Nicolas Flamel,https://harrypotter.fandom.com/wiki/Nicolas_Flamel,"Beauxbatons Academy of Magic,Albus Dumbledore,Flamel family",,,French,Human,,Male,
Morgan le Fay,https://harrypotter.fandom.com/wiki/Morgan_le_Fay,"Dark Arts,Avalon",,,British,Human,,Female,[]
Hengist of Woodcroft,https://harrypotter.fandom.com/wiki/Hengist_of_Woodcroft,"Hogsmeade,Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff",,,English,Human,Hufflepuff,Male,
Alberic Grunnion,https://harrypotter.fandom.com/wiki/Alberic_Grunnion,,,,British,Human,,Male,
Circe,https://harrypotter.fandom.com/wiki/Circe,,,,Greek,Human,,Female,
Phillipus von Hohenheim,https://harrypotter.fandom.com/wiki/Phillipus_von_Hohenheim,,,,,Human,,Male,[]
Cliodna,https://harrypotter.fandom.com/wiki/Cliodna,,,,Irish,Human,,Female,[]
Bertie Bott,https://harrypotter.fandom.com/wiki/Bertie_Bott,,,,British,Human,,Male,
Trevor,https://harrypotter.fandom.com/wiki/Trevor,"Algie,Neville Longbottom,Frog Choir",,,,Toad,,Male,
Hermione Granger,https://harrypotter.fandom.com/wiki/Hermione_Granger,"Granger family,Weasley family,Potter family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Trio
Dumbledore's Army
Slug Club,Gryffindor
Trio,Trio,Dumbledore's Army,Slug Club,S.P.E.W.,Order of the Phoenix,British Ministry of Magic
Department for the Regulation and Control of Magical Creatures
Department of Magical Law Enforcement,Department for the Regulation and Control of Magical Creatures,Department of Magical Law Enforcement","Mr Granger,Mrs Granger,Hector Dagworth-Granger,Ron Weasley,Rose Granger-Weasley,Hugo Granger-Weasley,Arthur Weasley,Molly Weasley,Ginevra Potter,Harry Potter,James Sirius Potter,Albus Severus Potter,Lily Luna Potter,Fred Weasley,George Weasley,Angelina Weasley,Fred Weasley II,Roxanne Weasley,Percy Weasley,Audrey Weasley,Molly Weasley II,Lucy Weasley,Charlie Weasley,Bill Weasley,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley",Muggle-born,English,Human,Gryffindor,Female,"['Hermy', 'Little Miss Perfect', 'Queen Slug']"
Vincent Crabbe,https://harrypotter.fandom.com/wiki/Vincent_Crabbe,"Hogwarts School of Witchcraft and Wizardry
Slytherin
Slytherin Quidditch team
Inquisitorial Squad
Draco Malfoy's gang,Slytherin,Slytherin Quidditch team,Inquisitorial Squad,Draco Malfoy's gang,Crabbe family,Lord Voldemort
Death Eaters,Death Eaters","Crabbe,Irma Black",Pure-blood,British,Human,Slytherin,Male,
Gregory Goyle,https://harrypotter.fandom.com/wiki/Gregory_Goyle,"Goyle family,Hogwarts School of Witchcraft and Wizardry
Slytherin
Slytherin Quidditch team,Slytherin,Slytherin Quidditch team,Inquisitorial Squad,Draco Malfoy's gang,Lord Voldemort,Death Eaters","Goyle,Mrs Goyle",Pure-blood,British,Human,Slytherin,Male,
Hogwarts Express conductor,https://harrypotter.fandom.com/wiki/Hogwarts_Express_conductor,"Hogwarts School of Witchcraft and Wizardry,Hogwarts Express crew",,Pure-blood,British,Human,,Male,
Hermes,https://harrypotter.fandom.com/wiki/Hermes,,,,,Screech owl,,Male,
Fat Friar,https://harrypotter.fandom.com/wiki/Fat_Friar,"Hogwarts School of Witchcraft and Wizardry,Hufflepuff,Catholic Church",,,British,Human,Hufflepuff,Male,
Peeves,https://harrypotter.fandom.com/wiki/Peeves,"Hogwarts School of Witchcraft and Wizardry,Order of the Phoenix,Dumbledore's Army",,,,Poltergeist,,Male,"['Peevsie', 'Peevesy']"
Sorting Hat,https://harrypotter.fandom.com/wiki/Sorting_Hat,,,,,,,,
Hannah Abbott,https://harrypotter.fandom.com/wiki/Hannah_Abbott,"Abbott family,Longbottom family,Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff,Dumbledore's Army,Leaky Cauldron","Mrs Abbott,Neville Longbottom,Alice Longbottom,Frank Longbottom,Augusta Longbottom,Longbottom family,Abbott,Giffard Abbott",Half-blood,British,Human,Hufflepuff,Female,
Susan Bones,https://harrypotter.fandom.com/wiki/Susan_Bones,"Bones family,Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff,Dumbledore's Army","Mr Bones,Mrs Bones,Amelia Bones,Edgar Bones,Edgar Bones’ wife,Bones children",Half-blood,British,Human,Hufflepuff,Female,
Terry Boot,https://harrypotter.fandom.com/wiki/Terry_Boot,"Boot family,Hogwarts School of Witchcraft and Wizardry
Ravenclaw,Ravenclaw,Duelling Club,Dumbledore's Army","Chadwick Boot,Webster Boot,D. L. Boot,Albert Boot,Boot family",Half-blood,British,Human,Ravenclaw,Male,
Mandy Brocklehurst,https://harrypotter.fandom.com/wiki/Mandy_Brocklehurst,"Brocklehurst family,Hogwarts School of Witchcraft and Wizardry,Ravenclaw",,Half-blood,British,Human,Ravenclaw,Female,
Lavender Brown,https://harrypotter.fandom.com/wiki/Lavender_Brown,"Brown family,Dumbledore's Army,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor","Mr Brown,Mrs Brown,Kelly Brown",Pure-blood,British,Human,Gryffindor,Female,"['Lav-Lav', 'Lav']"
Millicent Bulstrode,https://harrypotter.fandom.com/wiki/Millicent_Bulstrode,"Bulstrode family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Inquisitorial Squad",,Half-blood,British,Human,Slytherin,Female,
Justin Finch-Fletchley,https://harrypotter.fandom.com/wiki/Justin_Finch-Fletchley,"Finch-Fletchley family,Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff,Dumbledore's Army",,Muggle-born,British,Human,Hufflepuff,Male,
Seamus Finnigan,https://harrypotter.fandom.com/wiki/Seamus_Finnigan,"Dumbledore's Army,Hogwarts School of Witchcraft and Wizardry,Gryffindor,Finnigan family,Irish National Quidditch team,Kenmare Kestrels","Mr Finnigan,Mrs Finnigan,Fergus",Half-blood,Irish,Human,Gryffindor,Male,[]
Morag MacDougal,https://harrypotter.fandom.com/wiki/Morag_MacDougal,"MacDougal family,Hogwarts School of Witchcraft and Wizardry",,,British,Human,,Female,
Lily Moon,https://harrypotter.fandom.com/wiki/Lily_Moon,"Moon family,Hogwarts School of Witchcraft and Wizardry","Dennis Moon,Leonard Spencer-Moon",,British,Human,Gryffindor,Female,
Theodore Nott,https://harrypotter.fandom.com/wiki/Theodore_Nott,"Nott family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Death Eaters","Mr Nott,Mrs Nott,Cantankerus Nott",Pure-blood,British,Human,Slytherin,Male,
Pansy Parkinson,https://harrypotter.fandom.com/wiki/Pansy_Parkinson,"Parkinson family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Inquisitorial Squad,Draco Malfoy's gang,Death Eaters",,Pure-blood,British,Human,Slytherin,Female,
Padma Patil,https://harrypotter.fandom.com/wiki/Padma_Patil,"Patil family,Dumbledore's Army,Hogwarts School of Witchcraft and Wizardry
Ravenclaw,Ravenclaw","Mr Patil,Mrs Patil,Parvati Patil,Ron Weasley,Panju Weasley",Half-blood,British,Human,Ravenclaw,Female,
Parvati Patil,https://harrypotter.fandom.com/wiki/Parvati_Patil,"Patil family,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Dumbledore's Army","Mr Patil,Mrs Patil,Padma Patil",Half-blood,British,Human,Gryffindor,Female,[]
Sally-Anne Perks,https://harrypotter.fandom.com/wiki/Sally-Anne_Perks,"Perks family,Hogwarts School of Witchcraft and Wizardry",,,British,Human,Gryffindor,Female,
Dean Thomas,https://harrypotter.fandom.com/wiki/Dean_Thomas,"Thomas family,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Gryffindor Quidditch team,Dumbledore's Army","Father †,Mrs Thomas,Stepfather,Several half-siblings",Half-blood,English,Human,Gryffindor,Male,
Lisa Turpin,https://harrypotter.fandom.com/wiki/Lisa_Turpin,"Hogwarts School of Witchcraft and Wizardry
Ravenclaw,Ravenclaw",,,British,Human,Ravenclaw,Female,
Blaise Zabini,https://harrypotter.fandom.com/wiki/Blaise_Zabini,"Zabini family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Slytherin Quidditch team,Slug Club,Draco Malfoy's gang","Mrs Zabini,Six stepfathers †",Pure-blood,British,Human,Slytherin,Male,
Nicholas de Mimsy-Porpington,https://harrypotter.fandom.com/wiki/Nicholas_de_Mimsy-Porpington,"Henry VII's royal court,Hogwarts School of Witchcraft and Wizardry,Gryffindor,Headless Hunt",,,British,Human,Gryffindor,Male,"['Nearly Headless Nick', 'Sir Nicholas', 'Nick']"
Bloody Baron,https://harrypotter.fandom.com/wiki/Bloody_Baron,"Hogwarts School of Witchcraft and Wizardry,Slytherin",,,British,Human,Slytherin,Male,
Seamus Finnigan's father,https://harrypotter.fandom.com/wiki/Seamus_Finnigan%27s_father,,"Mrs Finnigan,Seamus Finnigan,Fergus",Muggle,Irish,Human,,Male,
Seamus Finnigan's mother,https://harrypotter.fandom.com/wiki/Seamus_Finnigan%27s_mother,,"Mr Finnigan,Seamus Finnigan,Fergus",,Irish,Human,Gryffindor,Female,
Algie Longbottom,https://harrypotter.fandom.com/wiki/Algie_Longbottom,,"Mr Longbottom,Enid Longbottom,Augusta Longbottom,Frank Longbottom,Alice Longbottom,Neville Longbottom",,,Human,,Male,
Enid (disambiguation),https://harrypotter.fandom.com/wiki/Enid_(disambiguation),,,,,,,,
Severus Snape,https://harrypotter.fandom.com/wiki/Severus_Snape,"Snape family,Prince family,Lily Potter,Harry Potter,Albus Dumbledore,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry
Slytherin,Slytherin,Lord Voldemort,Death Eaters",,Half-blood,English,Human,Slytherin,Male,"['Half-Blood Prince', 'Snivellus/Snivelly', 'Sev', 'Slytherus', 'The Potions Master']"
Argus Filch,https://harrypotter.fandom.com/wiki/Argus_Filch,"Hogwarts School of Witchcraft and Wizardry,Inquisitorial Squad,Mrs Norris",,Squib,British,Human,,Male,[]
Rolanda Hooch,https://harrypotter.fandom.com/wiki/Rolanda_Hooch,,,,British,Human,,Female,
Fat Lady,https://harrypotter.fandom.com/wiki/Fat_Lady,"Hogwarts School of Witchcraft and Wizardry,Gryffindor Tower,Gryffindor",,,British,Human,Gryffindor,Female,
Mrs Norris,https://harrypotter.fandom.com/wiki/Mrs_Norris,"Argus Filch,Hogwarts School of Witchcraft and Wizardry",,,,Cat,,Female,
Pomona Sprout,https://harrypotter.fandom.com/wiki/Pomona_Sprout,"Hogwarts School of Witchcraft and Wizardry,Herbology department,Hufflepuff,Order of the Phoenix,Dumbledore's Army",,Half-blood,British,Human,Hufflepuff,Female,
Cuthbert Binns,https://harrypotter.fandom.com/wiki/Cuthbert_Binns,"Hogwarts School of Witchcraft and Wizardry,Binns family",,,British,Human,,Male,
Emeric the Evil,https://harrypotter.fandom.com/wiki/Emeric_the_Evil,,,,,Human,,Male,
Uric the Oddball,https://harrypotter.fandom.com/wiki/Uric_the_Oddball,"Hogwarts School of Witchcraft and Wizardry,Ravenclaw",,,British,Human,Ravenclaw,Male,
Filius Flitwick,https://harrypotter.fandom.com/wiki/Filius_Flitwick,"Hogwarts School of Witchcraft and Wizardry,Ravenclaw,Frog Choir,Flitwick family,Order of the Phoenix,Dumbledore's Army",,Part-Goblin,British,Human,Ravenclaw,Male,
Fang,https://harrypotter.fandom.com/wiki/Fang,,,,,Boarhound,,Male,
Oliver Wood,https://harrypotter.fandom.com/wiki/Oliver_Wood,"Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team,Puddlemere United,Order of the Phoenix,Dumbledore's Army","Mr Wood,Mrs Wood",Pure-blood,British,Human,Gryffindor,Male,
Helena Ravenclaw,https://harrypotter.fandom.com/wiki/Helena_Ravenclaw,"Ravenclaw family,Hogwarts School of Witchcraft and Wizardry,Ravenclaw",,Pure-blood,British,Human,Ravenclaw,Female,"['The Ghost of Ravenclaw', 'Grey Lady']"
Draco Malfoy's eagle owl,https://harrypotter.fandom.com/wiki/Draco_Malfoy%27s_eagle_owl,,,,,Eagle owl,,,
Gregory the Smarmy,https://harrypotter.fandom.com/wiki/Gregory_the_Smarmy,,,,British,Human,,Male,
Fluffy,https://harrypotter.fandom.com/wiki/Fluffy,"Rubeus Hagrid,Hogwarts School of Witchcraft and Wizardry",,,,Three-headed dog,,Male,
Baruffio,https://harrypotter.fandom.com/wiki/Baruffio,,,,,Human,,Male,
Quirinus Quirrell's first mountain troll,https://harrypotter.fandom.com/wiki/Quirinus_Quirrell%27s_first_mountain_troll,,,,,Mountain Troll,,,
Angelina Johnson,https://harrypotter.fandom.com/wiki/Angelina_Johnson,"Weasley family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team,Dumbledore's Army","Father,George Weasley,Fred Weasley II,Roxanne Weasley,Arthur Weasley,Molly Weasley,Fred Weasley,Various Weasley in-laws",,British,Human,Gryffindor,Female,
Marcus Flint,https://harrypotter.fandom.com/wiki/Marcus_Flint,"Flint family,Hogwarts School of Witchcraft and Wizardry
Slytherin
Slytherin Quidditch team,Slytherin,Slytherin Quidditch team","Ursula Flint,Josephina Flint,Flint family",Pure-blood,British,Human,Slytherin,Male,
Alicia Spinnet,https://harrypotter.fandom.com/wiki/Alicia_Spinnet,"Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team,Dumbledore's Army",,Pure-blood,British,Human,Gryffindor,Female,
Katie Bell,https://harrypotter.fandom.com/wiki/Katie_Bell,"Bell family,Dumbledore's Army,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team","Mr Bell,Mrs Bell",Pure-blood,British,Human,Gryffindor,Female,
Miles Bletchley,https://harrypotter.fandom.com/wiki/Miles_Bletchley,"Hogwarts School of Witchcraft and Wizardry,Slytherin,Slytherin Quidditch team,Bletchley family","Bletchley,Kevin Bletchley,Madame Bletchley",,British,Human,Slytherin,Male,
Adrian Pucey,https://harrypotter.fandom.com/wiki/Adrian_Pucey,"Pucey family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Slytherin Quidditch team",,,British,Human,Slytherin,Male,
Terence Higgs,https://harrypotter.fandom.com/wiki/Terence_Higgs,"Higgs family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Slytherin Quidditch team",,,British,Human,Slytherin,Male,
Irma Pince,https://harrypotter.fandom.com/wiki/Irma_Pince,"Hogwarts School of Witchcraft and Wizardry,Hogwarts Library",,,British,Human,,Female,
Perenelle Flamel,https://harrypotter.fandom.com/wiki/Perenelle_Flamel,"Flamel family,Beauxbatons Academy of Magic",,,French,Human,,Female,
Norberta,https://harrypotter.fandom.com/wiki/Norberta,"Rubeus Hagrid,Romanian Dragon Sanctuary",,,,Norwegian Ridgeback,,Female,[]
Charlie Weasley's colleagues,https://harrypotter.fandom.com/wiki/Charlie_Weasley%27s_colleagues,,,,,Humans,,"Males, Females",
Ronan,https://harrypotter.fandom.com/wiki/Ronan,"Forbidden Forest Centaur colony,Hogwarts School of Witchcraft and Wizardry",,,,Centaur,,Male,
Bane,https://harrypotter.fandom.com/wiki/Bane,"Forbidden Forest Centaur colony,Hogwarts School of Witchcraft and Wizardry",,,,Centaur,,Male,
Firenze,https://harrypotter.fandom.com/wiki/Firenze,"Forbidden Forest Centaur colony,Hogwarts School of Witchcraft and Wizardry,Order of the Phoenix,Dumbledore's Army",,,,Centaur,,Male,"['Dobbin', 'The nag']"
Unicorn,https://harrypotter.fandom.com/wiki/Unicorn,,,,,,,,
Elfric the Eager,https://harrypotter.fandom.com/wiki/Elfric_the_Eager,,,,,,,,
Hogwarts Giant Squid,https://harrypotter.fandom.com/wiki/Hogwarts_Giant_Squid,,,,,Giant Squid,,,
Quirinus Quirrell's second mountain troll,https://harrypotter.fandom.com/wiki/Quirinus_Quirrell%27s_second_mountain_troll,,,,,Mountain Troll,,,
King's Cross Station,https://harrypotter.fandom.com/wiki/King%27s_Cross_Station,,,,,,,,
Wizardkind,https://harrypotter.fandom.com/wiki/Wizardkind,,,,,,,,"['Wizards & Witches', 'Sorcerers', 'Magicians']"
